Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
471,510,509,509,429,382,-228,-148,-28,-2093,-1458,-1500,513,509,503,458,453,503,-188,0,260,1433,1373,2628
451,510,509,509,422,407,-204,-196,152,-1543,-522,1445,513,509,503,457,458,506,244,-84,4,2395,152,2798
432,510,509,509,426,440,-364,-184,56,-1972,495,-447,513,511,504,457,455,507,312,28,128,2284,613,2903
432,510,509,509,430,457,-244,-120,-12,-1251,-629,2767,513,511,503,458,454,507,340,20,-72,4087,32,3929
478,510,509,509,441,460,-124,-196,104,-1738,-188,3234,513,511,504,457,451,508,212,96,-48,3482,207,4720
491,510,509,509,449,462,-112,-280,140,-2865,1143,4091,513,511,504,458,453,509,280,52,52,1204,-964,-313
466,510,509,509,442,457,-152,-156,112,-2276,-346,1860,513,511,505,459,454,506,0,248,184,195,-1130,-1286
458,510,509,509,435,451,-396,-196,-4,-2166,1494,2101,513,511,504,459,460,507,40,268,240,315,-1785,-2103
486,510,509,509,447,452,-184,-292,208,-1626,2096,4244,513,510,504,460,460,506,380,-28,-204,2120,-2428,1223
497,510,509,509,429,414,-220,-352,164,-1824,2116,325,513,510,504,459,465,505,404,112,376,2422,-2023,1361
486,510,509,509,426,410,-216,-88,12,-2575,2293,1549,513,510,506,459,462,507,280,-12,28,2625,-4238,-1874
490,510,509,509,438,411,-204,-76,84,-614,2741,-2942,513,510,505,464,461,508,16,36,40,3199,-6092,-3859
503,510,509,509,441,415,-284,-56,140,-1600,6165,-3693,512,510,505,470,456,504,-16,120,164,2599,-6726,-4781
507,510,509,509,459,414,-120,-156,76,-2153,9636,-3038,509,510,502,466,460,499,364,96,64,2720,-6821,-3095
508,510,509,508,456,421,-112,-136,88,1252,5891,-662,506,509,500,464,456,497,332,-20,8,-1005,-6818,-1940
509,510,509,508,449,422,-420,-288,280,894,3195,1409,504,509,495,463,461,486,276,88,24,-1027,-4386,-921
508,510,509,508,451,423,-180,-156,32,-2064,4997,836,494,509,500,463,456,487,44,456,232,-1369,-2419,-951
508,510,509,508,461,416,-328,-172,256,1267,-633,-738,488,509,498,463,451,488,404,-272,28,-1252,-4049,111
509,510,509,508,461,414,-196,-272,184,789,3373,3655,487,509,490,463,453,487,564,-132,36,-1985,-1955,1764
509,510,509,508,459,413,-348,-196,148,1172,2001,-1190,493,509,500,463,456,494,364,108,168,-2080,-1648,1358
509,510,509,508,458,413,-200,-148,152,3499,3613,4596,483,509,504,465,453,490,404,-260,236,-1357,-3194,265
509,510,509,508,455,416,-244,-148,244,2015,2204,2363,492,508,496,464,450,487,296,-92,-88,-1993,-2483,569
509,510,509,508,462,411,-376,-136,88,750,3429,807,499,509,489,462,447,488,556,-4,184,-2791,-869,2691
509,509,509,509,468,406,-184,-184,228,3954,3040,4189,503,509,484,461,428,489,416,-100,220,-1641,-2697,1281
509,510,509,509,462,398,-420,-220,228,2403,2083,2087,509,509,485,462,440,487,492,-236,-88,-1620,-2399,865
509,510,509,509,465,398,-244,-272,208,2179,-187,153,512,509,489,462,442,486,180,100,-212,-1778,-1135,-186
509,510,509,509,463,397,-196,-192,116,4131,-1147,-274,502,509,489,464,440,484,252,-304,116,-3088,976,2199
509,510,509,509,460,402,-436,-416,180,3703,-2052,544,493,509,489,464,393,484,420,196,-148,-2115,-2169,2007
509,510,509,509,463,401,-160,-40,184,1352,-788,-2928,492,509,496,467,402,490,252,156,-148,-2836,648,2999
509,509,509,509,463,400,-104,152,64,4852,-60,5731,494,509,499,469,414,498,272,-152,208,-2877,2290,145
509,510,509,509,460,398,-28,-124,-52,4745,-1460,1718,498,509,498,463,431,498,224,112,120,-2977,1095,3201
509,510,509,509,461,379,-612,-240,44,4290,-5799,-4057,501,508,491,462,426,491,-80,116,-24,-3031,3262,769
509,510,509,509,463,387,-328,-48,248,2574,-2745,-3462,511,509,501,464,454,499,132,236,152,-3692,5308,3134
508,510,509,509,453,387,72,-168,104,5367,-5985,2912,509,509,503,467,453,499,268,-108,104,-3442,5428,4863
500,510,509,509,445,387,-68,-36,176,2955,-7068,3469,508,508,504,469,461,494,-400,-28,124,-347,7093,2759
467,510,509,509,434,385,-304,-64,20,-960,-5402,-484,511,509,504,467,457,497,324,0,-36,3839,6081,3911
431,509,509,509,430,386,-284,-40,196,1601,-4505,1700,511,509,504,466,456,497,824,436,308,3571,4992,5822
439,509,509,509,427,387,-188,-240,108,1326,-3721,3998,510,509,503,467,459,494,444,-24,104,1875,1630,4049
429,510,509,508,439,383,-112,-144,188,-1548,-3234,3278,510,508,502,463,465,485,696,-104,-148,1161,-69,2187
381,510,509,508,429,379,-356,0,120,-1599,-2281,2005,512,509,498,460,455,491,176,92,216,943,-13,-472
423,510,509,508,481,316,-124,-100,148,436,-333,5077,511,509,500,461,459,491,80,284,292,-274,-251,-1645
491,510,509,508,483,311,-52,-72,-128,-2317,1287,-627,511,508,502,462,464,487,72,212,224,1015,2152,1061
438,510,509,509,460,332,-176,-76,208,-970,-3280,-4647,512,508,503,461,462,489,196,-116,280,3201,2117,2817
