Ball_of_foot_PMmax,Bridge_PMmax,Heel_PMmax,Calf_PMmax,Inner_shin_PMmax,Outer_shin_PMmax,ax_Mmax,ay_Mmax,az_Mmax,gx_Mmax,gy_Mmax,gz_Mmax,Ball_of_foot_PSmax,Bridge_PSmax,Heel_PSmax,Calf_PSmax,Inner_shin_PSmax,Outer_shin_PSmax,ax_Smax,ay_Smax,az_Smax,gx_Smax,gy_Smax,gz_Smax,Ball_of_foot_PMmean,Bridge_PMmean,Heel_PMmean,Calf_PMmean,Inner_shin_PMmean,Outer_shin_PMmean,ax_Mmean,ay_Mmean,az_Mmean,gx_Mmean,gy_Mmean,gz_Mmean,Ball_of_foot_PSmean,Bridge_PSmean,Heel_PSmean,Calf_PSmean,Inner_shin_PSmean,Outer_shin_PSmean,ax_Smean,ay_Smean,az_Smean,gx_Smean,gy_Smean,gz_Smean,Ball_of_foot_PMmin,Bridge_PMmin,Heel_PMmin,Calf_PMmin,Inner_shin_PMmin,Outer_shin_PMmin,ax_Mmin,ay_Mmin,az_Mmin,gx_Mmin,gy_Mmin,gz_Mmin,Ball_of_foot_PSmin,Bridge_PSmin,Heel_PSmin,Calf_PSmin,Inner_shin_PSmin,Outer_shin_PSmin,ax_Smin,ay_Smin,az_Smin,gx_Smin,gy_Smin,gz_Smin,Ball_of_foot_PMstd,Bridge_PMstd,Heel_PMstd,Calf_PMstd,Inner_shin_PMstd,Outer_shin_PMstd,ax_Mstd,ay_Mstd,az_Mstd,gx_Mstd,gy_Mstd,gz_Mstd,Ball_of_foot_PSstd,Bridge_PSstd,Heel_PSstd,Calf_PSstd,Inner_shin_PSstd,Outer_shin_PSstd,ax_Sstd,ay_Sstd,az_Sstd,gx_Sstd,gy_Sstd,gz_Sstd
501,509,434,510,491,306,460,740,604,1791,3981,1607,464,511,484,511,438,511,1068,188,236,1833,3423,5504,463.4285714,508.7857143,324.7857143,509.8571429,478.9285714,237.2142857,141.1428571,137.4285714,69.42857143,-372.5714286,1155.571429,484,449.5714286,510.7857143,458.5,511,430.6428571,511,270.2857143,-10.28571429,28.28571429,-662.7142857,900.7142857,2181.428571,431,507,69,509,473,191,-948,-276,-196,-2551,-3821,-737,433,510,434,511,425,511,-120,-564,-424,-2295,-6146,281,22.22840617,0.557874977,99.20554317,0.349927106,5.612031536,28.36793605,337.0135345,229.1729585,192.8766128,1523.098051,2538.692372,877.2318475,9.715336078,0.410325903,14.91763099,0,3.772213122,0,306.4402595,178.749397,162.322179,1302.713455,2225.678016,1514.143167
467,509,421,510,491,321,808,1048,748,2553,4008,3198,467,511,493,511,444,511,1000,720,220,6910,6113,6428,446.8571429,508.7857143,258.4285714,509.7857143,480.2142857,282.4285714,107.7142857,151.1428571,-2.571428571,-756.6428571,710.5714286,1244.5,462.7142857,511,460.7857143,511,433.1428571,511,388.5714286,170,28,-1415.071429,599.7857143,2670.571429,416,507,109,509,467,226,-668,-856,-1200,-2676,-4429,-2697,450,511,393,511,425,511,-80,-92,-212,-6436,-5476,-1782,13.02117585,0.557874977,78.55272505,0.410325903,5.466502818,28.2532281,330.7012956,509.0970799,454.1456208,1560.611401,2316.641495,1679.196736,5.062870042,0,29.7805751,0,5.50139129,0,307.2043792,233.2466506,113.2784181,2921.917704,2859.431516,2616.250854
485,509,491,510,478,306,564,932,604,5808,11602,2579,452,511,506,511,443,512,1160,588,1244,7600,3740,5085,444.8,508.7333333,421.8666667,509.6666667,472.7333333,263.7333333,192.2666667,115.2,-73.6,1203.8,3778,455.6,436.4666667,510.8,479.8,511,420.4666667,511.0666667,257.8666667,-63.73333333,88.53333333,2208.4,1967.933333,2708.933333,408,507,336,509,467,231,-216,-248,-996,-2952,-1401,-1890,424,509,425,511,408,510,-168,-1200,-368,-1455,-4272,-2667,20.62425756,0.679869268,48.87380575,0.471404521,2.37954244,25.50154679,210.7230304,271.8909585,340.461804,2504.959459,3727.084383,1458.70421,9.436571882,0.54160256,26.9176522,0,8.531249746,0.442216639,291.5041147,388.7743933,360.3816249,2688.354312,1878.153862,2138.023619
499,509,460,510,479,257,652,240,48,8042,4062,6305,444,511,491,511,448,512,476,660,96,8633,2551,8004,467.6666667,504.5333333,419.7333333,509.8666667,475.8666667,226.4,308.8,75.73333333,-59.46666667,294.7333333,-1551.733333,1013,437.0666667,510.7333333,437.0666667,510.9333333,436.4,511.0666667,221.0666667,79.73333333,-55.73333333,-190.9333333,-479.2,107.4666667,441,496,362,509,472,194,116,-40,-320,-4545,-6185,-841,429,509,353,510,432,511,24,-144,-292,-6290,-2878,-2221,17.93568758,3.53773311,23.27936616,0.339934634,2.62974439,17.74936619,159.6476119,88.95801756,91.48104843,3420.424271,2652.036789,2119.420392,3.69624434,0.573488351,36.86817357,0.249443826,4.046397575,0.249443826,115.5851586,180.1182821,119.1656923,4693.749126,1432.351921,2489.527475
475,509,483,510,478,267,352,192,176,2388,1522,752,457,510,510,511,441,511,360,152,84,5944,1334,1589,451.4666667,501.1333333,417.6,510,476.0666667,252.6666667,222.9333333,85.86666667,-9.066666667,403,-150.4666667,75.46666667,428.6,503.0666667,502.8,511,434.8,511,239.7333333,41.33333333,-24.8,863,-55.46666667,-142.0666667,402,494,220,510,475,225,64,-120,-204,-1715,-1120,-263,403,492,492,511,428,511,124,-84,-212,-833,-1726,-1980,24.1960511,3.461534663,82.15984421,0,0.928559218,13.31498738,60.89933406,69.99987302,90.89148597,966.1264237,616.416944,230.3614165,17.43100686,6.627887212,4.198412398,0,3.7273762,0,57.71593271,68.42481681,77.42798805,2074.983373,806.7329064,935.8291487
507,510,509,509,468,381,-60,-8,140,375,1231,3187,513,495,506,463,468,508,356,168,304,2777,2610,3393,495.5,509.9285714,509,508.5714286,462,375.3571429,-239.1428571,-154.8571429,60,-975.3571429,-885.5714286,861.0714286,512.7142857,495,503.7142857,462.0714286,463.3571429,506.0714286,244.2857143,-32.57142857,135.7142857,1402.071429,542.6428571,1333.071429,461,509,509,508,457,370,-352,-280,-32,-1744,-2046,-1366,512,495,499,460,458,504,132,-536,-80,-104,-1235,248,11.05667219,0.257539377,0,0.494871659,3.070597894,2.843718462,82.85172396,68.05759866,52.37229366,522.445022,910.399262,1282.712553,0.451753951,0,1.868099547,1.09962888,3.175962011,1.1627729,61.06603986,170.8456757,115.7086418,749.6378616,1190.067802,940.8558766
509,510,509,509,490,445,152,428,452,8325,16300,13884,513,510,509,469,473,509,1020,716,400,9590,1533,3234,479.3333333,509.8666667,509,507.8666667,452.6,357.3333333,-252.8,-106.4,88,-995.2,3066.266667,1130.933333,507.2,505.9333333,501.2666667,463.2,463.0666667,505.7333333,215.4666667,90.4,95.73333333,2095.4,-4298.333333,-946.9333333,402,509,509,505,414,274,-776,-388,-192,-9501,-6325,-8892,469,499,496,456,454,495,-396,-348,-180,-3589,-14819,-8143,38.730981,0.339934634,0,1.30979218,27.32471409,41.70797952,219.5957498,176.6581633,160.1998752,3902.434167,5688.138647,5589.912241,11.36192472,2.999259168,3.086889841,4.721581656,5.801915393,3.234535859,315.3896778,228.6041119,165.8945314,2988.679347,4452.954804,3292.203122
509,510,509,509,461,457,-112,-56,280,3499,9636,4596,513,511,506,470,465,508,564,456,376,3199,-1130,1764,496.8666667,510,509,508.5333333,447.4666667,423.0666667,-237.3333333,-182.6666667,128.8,-535,3242.133333,554.1333333,503.6,509.6666667,501.4666667,462.6666667,457.6,498.0666667,257.0666667,53.86666667,108.2666667,408,-3714.133333,-981.8666667,458,510,509,508,426,410,-420,-352,-4,-2575,-633,-3693,483,509,490,459,451,486,-16,-272,-204,-2080,-6821,-4781,16.01610301,0,0,0.498887652,11.40097462,15.6096836,92.75247825,82.49013409,80.83827476,1793.013664,2528.49296,2514.927033,10.90443335,0.699205899,4.287449384,3.00370142,3.860915263,8.338398461,181.6103766,185.2817194,134.7746102,1912.985346,1984.522003,1938.365527
508,510,509,509,470,419,208,192,244,1870,10290,3121,513,508,506,472,467,506,1072,336,316,3360,803,1300,493.9285714,509.6428571,509,508.6428571,446.2142857,400.2857143,-164,-110,102.2857143,-1256.428571,2792,821.7142857,511.9285714,508,504.4285714,466.3571429,462.8571429,501.8571429,315.4285714,58.57142857,61.14285714,1587.285714,-3360.928571,-1055.285714,463,509,509,508,428,365,-336,-288,-84,-3930,-388,-3486,504,508,503,461,458,494,72,-156,-320,-896,-6736,-4151,15.73197057,0.479157424,0,0.479157424,13.80051019,16.67945088,161.6698576,112.547133,94.73830766,1444.650265,3369.278939,1922.681402,2.462991379,0,0.903507903,2.715225401,2.849991049,3.291919606,238.6095778,140.8107719,186.8256854,1396.549699,2033.804579,1767.020714
506,510,509,509,448,463,116,-20,292,-243,13344,4995,513,508,503,480,485,510,716,596,176,3796,2954,4236,435,509.7142857,509,508.0714286,435.3571429,420.2857143,-175.1428571,-177.7142857,103.4285714,-1643.785714,2397.214286,2071.357143,512.3571429,508,501.0714286,474.4285714,475.7857143,506.7142857,233.1428571,120.8571429,48,1971.071429,-2461.428571,433.7857143,320,509,509,507,422,368,-364,-496,-28,-4691,-2088,-4351,510,508,499,471,468,503,-24,-352,-188,394,-8106,-6142,68.29871365,0.451753951,0,0.593330276,7.441266625,33.86407403,137.2478765,119.194576,100.908526,1506.559476,4097.96903,2977.430762,1.04246568,0,1.09962888,2.258769757,6.189606166,1.829464068,192.525641,229.0511038,93.2707273,914.0213708,3915.128783,3103.638721
