Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
445.56,446.15,472.96,487.34,203.5,262.19,206.98,144.02,-77.719,2510.4,1184.4,-635.91,508.96,496.05,501.77,421.59,208.01,374.87,254.43,3.2781,-57.577,2318.6,876.21,-962.98
443.43,445.74,469.24,487.38,203.07,262.1,222.45,114.69,-88.589,2964.3,1482.5,-642.13,508.65,496.19,501.81,420.46,219.88,372.98,254.13,13.584,-44.615,2841.7,1386.9,-1426.4
441.77,445.4,464.65,487.43,202.67,262,231.95,70.061,-96.819,3393.4,1794.9,-638.85,508.13,496.29,501.87,419.39,231.94,371,256.07,28.947,-35.242,3344.6,1892.7,-1846.5
440.61,445.16,459.22,487.48,202.29,261.91,233.68,17.595,-103.49,3752.1,2080.3,-620.68,507.39,496.37,501.93,418.37,244.06,368.96,259.52,46.778,-33.562,3763.4,2319.4,-2156
439.96,445.03,452.98,487.53,201.95,261.81,228.58,-31.921,-110.82,3998.8,2298,-585.28,506.47,496.41,501.99,417.43,256.09,366.89,263.02,63.863,-42.795,4041,2598,-2299.4
439.84,445.03,445.97,487.58,201.64,261.72,219.8,-67.015,-121.5,4103.2,2415,-534.45,505.37,496.43,502.06,416.56,267.9,364.82,265.14,77.203,-63.871,4137.8,2677.4,-2243.5
440.24,445.19,438.25,487.63,201.36,261.63,211.33,-78.736,-137.3,4050.8,2411.1,-473.83,504.11,496.42,502.13,415.79,279.34,362.79,264.95,84.818,-94.654,4039.2,2534.9,-1983.3
441.17,445.51,429.88,487.68,201.12,261.54,206.24,-63.414,-157.62,3844.4,2281.7,-411.51,502.71,496.37,502.2,415.11,290.26,360.82,262.16,86.176,-130.17,3758.5,2180.1,-1543.1
442.6,446.01,420.95,487.73,200.91,261.45,205.64,-24.029,-178.89,3502.6,2037.8,-355.91,501.19,496.31,502.26,414.55,300.53,358.94,256.92,82.043,-163.82,3334,1653.9,-972.31
444.52,446.71,411.53,487.77,200.74,261.36,208.6,30.419,-195.1,3056.3,1704,-313.54,499.57,496.21,502.33,414.1,309.99,357.18,249.55,73.848,-189.27,2821.4,1021.4,-336.94
446.88,447.61,401.71,487.81,200.61,261.28,213.12,87.414,-199.82,2544.5,1314.3,-287.5,497.87,496.08,502.39,413.76,318.52,355.56,240.5,62.962,-202.23,2283.2,360.02,291.1
449.66,448.71,391.61,487.85,200.51,261.2,217.23,134.51,-188.45,2009.2,906.85,-276.93,496.1,495.92,502.46,413.54,326,354.1,230.52,50.325,-201.6,1777.9,-253.07,845.34
452.8,450.01,381.33,487.88,200.45,261.12,219.91,162.73,-160.12,1490.8,518.62,-277.51,494.28,495.74,502.51,413.44,332.3,352.83,220.78,36.561,-189.57,1350.7,-753.37,1274.6
456.26,451.51,370.97,487.9,200.43,261.04,221.26,168.77,-118.29,1023.3,179.62,-282.88,492.43,495.53,502.57,413.46,337.35,351.74,212.63,22.413,-170.6,1027.3,-1098.3,1549.7
459.97,453.2,360.65,487.92,200.44,260.96,222.2,155.27,-69.895,631.24,-91.523,-286.32,490.55,495.29,502.61,413.58,341.07,350.87,207.26,9.1482,-149.81,811.82,-1271.8,1666.6
463.89,455.06,350.47,487.93,200.49,260.88,223.94,129.41,-23.439,327.32,-290.12,-282.24,488.66,495.03,502.65,413.82,343.38,350.19,205.26,-1.3631,-131.45,688.46,-1284.2,1644.8
467.96,457.08,340.54,487.93,200.58,260.8,227.56,100.37,13.444,111.31,-425.6,-267.13,486.78,494.74,502.69,414.16,344.27,349.73,206.55,-7.0043,-117.94,626.31,-1167.4,1522.7
472.11,459.24,330.97,487.92,200.71,260.71,233.81,76.593,36.034,-28.804,-518.94,-239.72,484.9,494.42,502.72,414.6,343.71,349.47,210.58,-6.0867,-109.74,586.21,-966.96,1349.4
476.29,461.52,321.85,487.9,200.87,260.63,242.94,63.625,43.578,-114.36,-597.82,-200.49,483.04,494.08,502.74,415.12,341.71,349.41,216.78,1.907,-105.91,528.59,-732.95,1175.7
